지점번호,지점명,일시,일조합(hr),일조율(%),일사합(MJ/m2),일사량(kWh/m²),발전량(kWh)
108,서울,2020-04-01,283.3,71.59,637.52,177.10305599999998,510.0568012799999
108,서울,2020-05-01,177.9,40.38,564.83,156.909774,451.90014912
108,서울,2021-04-01,208.6,52.74,558.28,155.090184,446.65972992
108,서울,2021-05-01,203.7,46.25,570.5,158.48489999999998,456.4365119999999
108,서울,2022-04-01,246.4,62.35,615.24,170.913672,492.23137535999996
108,서울,2022-05-01,302.3,68.69,764.61,212.408658,611.73693504
108,서울,2023-04-01,182.3,46.18,498.03,138.352734,398.45587392000004
108,서울,2023-05-01,235.6,53.57,648.18,180.06440399999997,518.5854835199999
108,서울,2024-04-01,209.2,52.85,558.15,155.05407,446.5557216
108,서울,2024-05-01,262.0,59.46,686.87,190.812486,549.53995968
108,서울,2025-04-01,237.9,60.15,585.38,162.618564,468.34146432
108,서울,2025-05-01,205.3,46.62,575.6,159.90168,460.5168384
